Periode;Riau
28/02/2024;16740
29/02/2024;16780
01/03/2024;16960
02/03/2024;16940
03/03/2024;16740
04/03/2024;16810
05/03/2024;16840
06/03/2024;16790
07/03/2024;16790
08/03/2024;16790
09/03/2024;16900
10/03/2024;16970
11/03/2024;16830
12/03/2024;16900
13/03/2024;16920
14/03/2024;16820
15/03/2024;16930
16/03/2024;16860
17/03/2024;16840
18/03/2024;16740
19/03/2024;16730
20/03/2024;16820
21/03/2024;16860
22/03/2024;16590
23/03/2024;16920
24/03/2024;16940
25/03/2024;16950
26/03/2024;16990
27/03/2024;17130
28/03/2024;16950
29/03/2024;16810
30/03/2024;16960
31/03/2024;16760
01/04/2024;16880
02/04/2024;16890
03/04/2024;16950
04/04/2024;16630
05/04/2024;16730
06/04/2024;16910
07/04/2024;16820
08/04/2024;16600
09/04/2024;17020
10/04/2024;16650
11/04/2024;17000
12/04/2024;16850
13/04/2024;16750
14/04/2024;16770
15/04/2024;16840
